City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
284,La Asuncion,VE,11.0333,-63.8628,85.73,70,36,20.71,scattered clouds
285,Black Forest,US,39.0131,-104.7008,85.62,40,75,1.99,thunderstorm
286,Hambantota,LK,6.1241,81.1185,77.34,100,20,5.75,few clouds
287,Ovalle,CL,-30.5983,-71.2003,62.85,38,1,2.73,clear sky
288,Paamiut,GL,61.994,-49.6678,45.86,78,100,5.46,overcast clouds
289,Hofn,IS,64.2539,-15.2082,54.84,63,4,7.56,clear sky
290,Toamasina,MG,-18.1667,49.3833,66.2,94,75,5.75,light rain
291,Lata,PT,40.1629,-8.3327,74.05,51,0,1.72,clear sky
292,Cedar City,US,37.6775,-113.0619,84.18,35,45,9.26,scattered clouds
293,Tefe,BR,-3.3542,-64.7114,82.51,83,75,6.91,thunderstorm
294,Nanortalik,GL,60.1432,-45.2371,50.29,69,94,5.86,overcast clouds
295,Seinajoki,FI,62.7945,22.8282,58.23,69,0,1.99,clear sky
296,Namibe,AO,-15.1961,12.1522,67.35,77,0,5.95,clear sky
297,Oussouye,SN,12.485,-16.5469,86.18,84,100,5.97,overcast clouds
298,Gomel,BY,52.4345,30.9754,78.78,69,0,2.24,clear sky
299,Narsaq,GL,60.9167,-46.05,54.46,58,100,1.19,overcast clouds
300,Klaksvik,FO,62.2266,-6.589,52.72,85,16,23.85,few clouds
301,Hit,IQ,33.6416,42.8251,94.91,16,0,8.03,clear sky
302,Owando,CG,-0.4819,15.8999,78.31,46,89,2.48,overcast clouds
303,Porto San Giorgio,IT,43.1827,13.7934,71.85,67,97,10.78,overcast clouds
304,Grado,ES,43.388,-6.0743,65.5,95,75,10.36,broken clouds
305,Kopavogur,IS,64.1123,-21.913,51.51,91,90,10.36,light intensity drizzle
306,Kahului,US,20.8947,-156.47,83.97,71,21,18.01,few clouds
307,Zyryanka,RU,65.75,150.85,59.11,83,100,4.65,light rain
308,Bagan,RU,54.1001,77.6646,53.01,90,92,8.48,overcast clouds
